"Date","Price","Open","High","Low","Vol.","Change %"
"01/29/2012","78.92","78.80","79.57","78.62","","0.03%"
"01/22/2012","78.90","80.41","80.41","78.77","","-1.65%"
"01/15/2012","80.22","81.70","81.70","80.00","","-1.59%"
"01/08/2012","81.52","81.40","81.78","80.53","","0.33%"
"01/01/2012","81.25","80.28","81.38","79.52","","1.33%"
"12/25/2011","80.18","80.00","80.85","79.71","","0.31%"
"12/18/2011","79.93","80.19","80.49","79.24","","-0.41%"
"12/11/2011","80.26","78.72","80.73","78.63","","2.07%"
"12/04/2011","78.63","78.47","79.11","78.11","","0.01%"
"11/27/2011","78.62","79.21","79.40","77.92","","-1.34%"
"11/20/2011","79.69","78.08","79.70","77.97","","2.09%"
"11/13/2011","78.06","76.77","78.47","76.75","","1.46%"
"11/06/2011","76.94","76.93","78.17","76.51","","-0.03%"
"10/30/2011","76.96","75.01","77.68","74.98","","2.52%"
"10/23/2011","75.07","76.47","76.66","74.72","","-1.73%"
"10/16/2011","76.39","76.63","77.55","76.23","","-0.30%"
"10/09/2011","76.62","78.84","78.69","76.51","","-2.68%"
"10/02/2011","78.73","79.02","79.84","78.06","","0.23%"
"09/25/2011","78.55","78.13","78.86","77.31","","0.06%"
"09/18/2011","78.50","77.02","78.80","76.79","","2.48%"
"09/11/2011","76.60","77.38","77.78","76.07","","-0.76%"
"09/04/2011","77.19","74.90","77.28","74.67","","3.25%"
"08/28/2011","74.76","73.75","74.77","73.53","","1.29%"
"08/21/2011","73.81","74.06","74.46","73.57","","-0.27%"
"08/14/2011","74.01","74.54","74.61","73.45","","-0.80%"
"08/07/2011","74.61","74.02","75.06","73.82","","0.01%"
"07/31/2011","74.60","73.81","75.42","73.58","","0.95%"
"07/24/2011","73.90","74.10","74.51","73.42","","-0.40%"
"07/17/2011","74.20","75.25","75.75","73.89","","-1.24%"
"07/10/2011","75.13","75.33","76.72","74.69","","-0.07%"
"07/03/2011","75.18","74.28","75.42","74.13","","1.12%"
"06/26/2011","74.35","75.49","75.99","74.19","","-1.74%"
"06/19/2011","75.67","75.15","75.80","74.50","","0.91%"
"06/12/2011","74.99","74.90","76.02","74.23","","0.25%"
"06/05/2011","74.80","73.80","74.92","73.51","","1.38%"
"05/29/2011","73.78","74.86","75.02","73.70","","-1.56%"
"05/22/2011","74.95","75.73","76.37","74.75","","-0.65%"
"05/15/2011","75.44","75.85","76.00","74.96","","-0.42%"
